Вакансия,Компания,Обязанности,Требования,Зар. плата,URL 
IT-эксперт в отдел планирования продаж и операций Маркета, Яндекс,"Изучать потребности внутренних пользователей и опыт внешних пользователей, анализировать рынок и конкурентную среду. Создавать новые и развивать существующие продукты по...",Опыт сопровождения всей цепочки S&OP-процессов со стороны IT — не меньше трех лет. Досконально разбираетесь в деталях создания и...,Не указано,https://hh.ru/vacancy/31264686?query=python
Трейдер / помощник трейдера в алгоритмический отдел,ООО Инвестиционная компания Фридом Финанс,Написание алгоритмов и разработка автоматизированных систем торговли. Наблюдение и управление торговым роботом на финансовых рынках России и Америки. ,"Опыт разработки на С/С++, Python, R. Понимание принципов многопоточного программирования. Опыт реализации алгоритмов в коде. Наличие сертификатов ЦБ (ФСФР). ",40 000-50 000 руб.,https://hh.ru/vacancy/29912769?query=python
Linux System Administrator, Лига Ставок,Эксплуатация и мониторинг серверов под управлением OS GNU/Linux. Диагностика и устранение сетевых проблем. Взаимодействие с группой разработки. ,"Опыт написания скриптов на bash/python. Опыт сборки пакетов и организации пакетных репозиториев. Опыт установки, настройки, мониторинга основных сетевых сервисов...",Не указано,https://hh.ru/vacancy/29912099?query=python
Ведущий веб-аналитик," Риалвеб, Интернет-агентство","Поддержка команды и клиентов агентства по вопросам веб-аналитики. Базовая и продвинутая настройка отслеживания (Google Tag Manager, Google Analytics, Яндекс.Метрика...","Продвинутые знания Excel. Знание HTML, JavaScript, jQuery. Знание SQL (Опыт работы с SQL базами данных. Приоритетнее – Bigquery, Clickhouse). ",от 110 000 руб.,https://hh.ru/vacancy/29046189?query=python
Ведущий инженер-программист,АО НИИССУ,"Разработка и отладка встроенного и вспомогательного ПО на языках C/C++, Python для программно-аппаратных комплексов телекоммуникационного оборудования на платформе...","Образование: высшее. Глубокое знание и опыт программирования на языках C/C++. Знание платформы, принципов работы основных подсистем и опыт работы...",100 000-140 000 руб.,https://hh.ru/vacancy/30924153?query=python
Senior IT Auditor," «РОСБАНК, Societe Generale Group», с опытом работы","Participates to local and international audits jointly with business auditors to assess Enterprise architecture, IT strategy, Data Governance, IT Project...","Good knowledge of IT infrastructure and information security. Experience in using Risk-based auditing. Knowledge on Python, R, data visualization...",Не указано,https://hh.ru/vacancy/28099907?query=python
Deep learning researcher, Banzai,Разработка ИИ системы на основе нейронных сетей. Помощь по встраиванию AI системы в пользовательское приложение.,"Курсы/образование по теме нейронных сетей и машинного обучения. Образование: математическое, прикладная математика, физика. Знание Python. Знание TensorFlow, PyTorch.",Не указано,https://hh.ru/vacancy/31048970?query=python
Ведущий эксперт (Департамент корпоративных кредитных рисков)," «РОСБАНК, Societe Generale Group», с опытом работы",Внедрение и поддержание в актуальном состоянии скоринговых и рейтинговых моделей. Внедрение проектов цифровой трансформации. Адаптация и настройка внутренних систем Рисков...,"Знание специальных программ и языков программирования (SQL, R, Python, VBA) как преимущество. Опыт ведения проектов. Опыт построения скоринговых моделей в...",Не указано,https://hh.ru/vacancy/30884624?query=python
Старший разработчик,ООО ГАРАНТ - СЕРВИС,"Разработка ПО (python, Django, Angular). Поддержка и доработка существующих систем (Delphi и MS SQL Server). Постановка задач и контроль деятельности...","Высшее проф.(программирование, разработка баз данных). PC (Win/GNU Linux); опытный пользователь. Базовый (пакет офисных программ, электронная почта, интернет-браузер). ",Не указано,https://hh.ru/vacancy/30805830?query=python
Ведущий инженер-программист (телекоммуникации),АО НИИССУ,"Разработка и отладка встроенного системного ПО на языках C/C++, Python для программно-аппаратных комплексов телекоммуникационного оборудования на платформе Linux...","Глубокое знание и опыт программирования на языках C/C++., Python. Знание платформы, принципов работы основных подсистем и опыт работы с...",100 000-140 000 руб.,https://hh.ru/vacancy/30926264?query=python
Проектный менеджер (Департамент комплексной оценки рисков)," «РОСБАНК, Societe Generale Group», с опытом работы","Построение математических моделей предсказания поведения клиентов (розничных и корпоративных), стресс-тестирования профиля рисков Банка/Группы. Мониторинг скоринговых карт. ","Знание специальных программ и языков программирования (SQL, R, Python, VBA), MS Office (Excel, Access, Word, PowerPoint). Наличие навыков владения ­­­­­­­­­­­­­­­­­­­­­­­­SAS...",Не указано,https://hh.ru/vacancy/29118745?query=python
Инженер систем мониторинга\DevOps, АльфаСтрахование,"Поддержка средств мониторинга доступности ИТ-сервисов (администрирование, настройка, разработка сценариев и постановка на мониторинг новых сервисов, обеспечение отказоустойчивости, добавление нового...","Образование: высшее, в области ИТ. Уверенное знание операционых систем Linux, Виртуализация, Сети. Преимуществом является знание bash, python, java (базовые знания). ",Не указано,https://hh.ru/vacancy/30066912?query=python
"Преподаватель компьютерных/IT курсов, программирования, информатики, робототехники", ЧУ ДО Школа программистов,"Web-дизайн, CMS, PHP, JavaScript. Робототехника и микроконтроллеры. Системное администрирование. Компьютерные сети. Компьютерная графика, видеомонтаж и др. Что Вы будете...",Вы обладаете опытом публичных выступлений. Получили или скоро получите техническое или педагогическое высшее образование. И/или направлений IT-технологий: Компьютерное...,до 100 000 руб.,https://hh.ru/vacancy/30137791?query=python
Руководитель отдела проектной безопасности, Rambler Group,Организация и развитие процесса безопасной разработки приложений S-SDLC. Интеграция DAST/FAST (может и SAST) тестирования в процессы веб-разработки. ,"Умение читать исходный код, знать тонкости и выявлять уязвимости нескольких языков программирования из списка – Python, Ruby, Perl, PHP, JS/NodeJS. ",Не указано,https://hh.ru/vacancy/30684132?query=python
Инженер по тестированию качества видео,ООО Ростелеком Информационные Технологии,"Функциональное тестирование разрабатываемых компанией продуктов в сфере интерактивного ТВ. Разработка и поддержка тестовой документации (проектирование и написание тест-кейсов, чек...","Опыт работы с Linux и знание bash, знание скриптовых языков (например, python). Умение анализировать требования и составлять необходимые сценарии тестирования...",Не указано,https://hh.ru/vacancy/29934029?query=python
QA Lead, Lamoda,"Управление командой тестирования. Планирование и проведение тестирования. Построение системы Continuous Integration. Проектирование, дизайн и программирование автотестов. Участие в разработке автоматизированной...","Опыт в разработке автотестов. Навыки в функциональном тестировании. Навыки тест-менеджмента - приоритизация, оценка покрытия. Общее представление о процессе разработки ПО. ",Не указано,https://hh.ru/vacancy/27618531?query=python
CRM менеджер, Skyeng,"Настроить сбор данных о клиентах: понять какие данные и откуда мы можем собирать, составить структуру, написать ТЗ, проконтролировать внедрение в...","Обладает логическим мышлением, умеет считать, глубинно понимает причинно-следственные связи. Имеет искренний интерес к сфере Martech. Знание SQL и Python...",Не указано,https://hh.ru/vacancy/30105829?query=python
CRM-маркетолог, Skyeng,"Настроить сбор данных о клиентах: понять какие данные и откуда мы можем собирать, составить структуру, написать ТЗ, проконтролировать внедрение в...","Обладает логическим мышлением, умеет считать, глубинно понимает причинно-следственные связи. Имеет искренний интерес к сфере Martech. Знание SQL и Python...",Не указано,https://hh.ru/vacancy/30105854?query=python
Senior Product Analyst, Joom,Ad-hoc аналитика для поддержки принятия продуктовых решений. Участие в разработке системы метрик для работы над развитием продукта: понимание того...,"Знание математической статистики и опыт ее применения. Навыки программирования на Python (Pandas, Numpy). Умение писать SQL-запросы. Умение выбирать нужный...",от 250 000 руб.,https://hh.ru/vacancy/29996734?query=python
It auditor," «РОСБАНК, Societe Generale Group», с опытом работы","Participates to local and international audits jointly with business auditors to assess Enterprise architecture, IT strategy, Data Governance, IT Project...","Good knowledge of IT infrastructure and information security. Experience in using Risk-based auditing. Knowledge on Python, R, data visualization...",Не указано,https://hh.ru/vacancy/28099593?query=python
Старший инженер автоматизированного тестирования, INFOWATCH,"Тестированием компонентов продукта. Локализацией проблем и их документированием. Автоматизацией процесса тестирования - разработка автотестов, запуск и анализ результатов. Развитием подходов к...","Владение одним из перечисленных языков программирования – Python, Ruby, C/C++/C#, Java. Понимание сетевых технологий, понимание основ ООП. ",Не указано,https://hh.ru/vacancy/30174012?query=python
Аналитик СУБД,АО Фармстандарт,Разработка и сопровождение решений в системе QlikView. Контроль выполнения текущих процедур сбора данных. Поддержка и обучение пользователей. Написание технической документации.,"Приветствуется опыт написания SQL-запросов. Приветствуются навыки разработки скриптов на языках powershell, python и т.п., а также опыт написания...",Не указано,https://hh.ru/vacancy/31243623?query=python
Стажер отдела планирования в Яндекс.Маркет, Яндекс,С расчетными файлами по планированию поставок и спроса. С аналитической информацией и предложением вариантов решений на основе результатов анализа. ,Умение работать в команде. Умение быстро учиться и адаптироваться к изменениям. Умение программировать: SQL и Python (будет плюсом).,Не указано,https://hh.ru/vacancy/31244579?query=python
Ассистент web-аналитика, i-Media,"Работа с Google Analytics, Яндекс.Метрикой и Google Tag Manager. Отчетность. Рекомендации по Usability сайтов. Анализ посадочных страниц и аналитика конверсии. ","Техническое или математическое высшее образование является плюсом. Опыт программирования - плюс (JavaScript, R или Python - большой плюс). Опыт работы с базами...",Не указано,https://hh.ru/vacancy/30724707?query=python
PHP программист,ООО Нэт Пэй,Разработка и интеграция модулей платежной системы для различных систем управления контентом (CMS). Внедрение новых сервисов. Поддержка/доработка текущих сервисов компании. ,"Знание других скриптовых языков (Python, Perl, Ruby) будет плюсом. Опыт работы с UNIX Like системами (ssh, терминал, клиент базы данных). ",Не указано,https://hh.ru/vacancy/31101510?query=python
Антифрод аналитик, Group-IB,"Аналитика, реагирование на инциденты, формирование отчетности. Разработка антифрод методик, настройка антифрод правил, контроль их эффективности. Формирование технических требований для проведения...","Большим плюсом будет знание SQL, regexp, знание и опыт использования аналитических инструментов: jupyther, R, python и др.. Опыт консультирования заказчиков...",Не указано,https://hh.ru/vacancy/30462331?query=python
1С программист, Медиагруппа «Актион-МЦФЭР»,Создание и развитие сервиса по интеграции данных клиентов использующих 1С и внутренних продуктов холдинга. Разработка и поддержка новых модулей...,"Желателен опыт работы с другими языками программирования (C#, PHP, Python) и SQL базами даннных. Высокая степень самостоятельности. Алгоритмический тип мышления. ",90 000-120 000 руб.,https://hh.ru/vacancy/30392318?query=python
Системный администратор (Network), Лига Ставок,Участие в настройке распределенных систем мониторинга сети. Администрирование систем мониторинга. Администрирование сетевой инфраструктуры компании. Автоматизация повседневных задач. Мониторинг корпоративной сети...,"Опыт администрирование OS Linux. Владение shell, Python, expect для автоматизации управления устройствами. Желательно: Опыт работы с сетевым оборудованием Cisco, HP...",Не указано,https://hh.ru/vacancy/30122374?query=python
Test Manager, Align Technology Inc,"Manage team(s) of SQA engineers, including people in remote and offshore locations. Evaluate and improve QA processes. ","Experience in test automation (Python ,Java – nice to have). CI/CD knowledge (Bamboo/ Jenkins , Jira, GIT, Docker ). Proven experience and...",Не указано,https://hh.ru/vacancy/31098921?query=python
Старший системный администратор,Не указано,"Администрирование физических и виртуальных серверов (как аппаратная, так и программная части). Обеспечение работы сервисов: AD; VPN; Mail; Wiki; Monitoring; Сетевые...","...CentOS, Debian, FreeBSD). Навыки в администрировании Asterisk. Опыт программирования на Python является преимуществом. Способность работать в режиме многозадачности, расставлять приоритеты. ",от 90 000 руб.,https://hh.ru/vacancy/31251695?query=python
Системный архитектор,ООО ALL.ME,"Планирование стратегии технологического развития продукта. Определение и владение архитектурой системы. Ответственность за стабильность системы, своевременный аудит текущих мощностей и hardware. ","Опыт разработки на Java .Net, Node.js, Go, Python. Опыт веб/мобильной разработки от 3 лет. Опыт разработки высоконагруженных Web-систем. ",Не указано,https://hh.ru/vacancy/31253851?query=python
Senior R&D инженер, Joom,"Мы очень быстро растем и хотим нанять R&D-разработчика в команду автоматизации рекламы, которая занимается рекламным ретаргетингом, сегментацией и...","Уверенное владение Java или С++ или Python: опыт разработки и отладки распределенных, высоконагруженных приложений, умение писать тестируемый код. ",от 270 000 руб.,https://hh.ru/vacancy/29997128?query=python
Младший аналитик, РБК,Мониторинг и анализ бизнес показателей проектов холдинга. Подготовка разовых и регулярных отчетов / презентаций. Изучение поведения пользователей интернет-проектов холдинга. ,"анализа. Навыки визуализации данных. Опыт работы с Google Analytics и Яндекс Метрикой, SQL, Python (Pandas), макросами VBA (как преимущество).",Не указано,https://hh.ru/vacancy/30307119?query=python
Инженер доступности сервисов (SRE), Southbridge,"Поддержка и мониторинг обслуживаемых компанией серверов (работа в команде, более 1000 серверов). Внедрение и поддержка практик SRE в команде. ","Опыт применения SLI/SLO на практике. Опыт программирования на языках (Python, Golang) от 3-х лет. Построение или администрированием отказоустойчивых...",до 120 000 руб.,https://hh.ru/vacancy/31252970?query=python
Руководитель группы тестирования,ПАО МТС,"Команда QA МТС обеспечивает качество продуктов собственной разработки, которые решают операционные и бизнес-задачи в телекоммуникационном секторе. Управление командой системного...","Стек технологий: СУБД: Oracle, MySQL, PostgreSQL. Разметка: HTML, CSS, JSON. Протоколы: SOAP, HTTP, TCP/IP. ОС: LINUX, Windows. ",Не указано,https://hh.ru/vacancy/30638471?query=python
Старший инженер по функциональному тестированию, INFOWATCH,"Разработка тест кейсов / сценариев тестирования. Анализ требований к продукту. Локализация дефектов продукта, документирование обнаруженных дефектов и контроль их устранения. ","Знания DLP продуктов. Имеете опыт работы с ОС семейства Windows или Linux. Имеете опыт разработки на Bash, Python.",Не указано,https://hh.ru/vacancy/29391605?query=python
QA специалист, LiteBox,Участвовать во всех этапах разработки в составе scrum-команды: от сбора и анализа требований до написания кода и выкатки в...,Знание Selenium Webdriver. Понимание основных принципов создания автотестов. Желание учиться и развиваться. Знание Selenium Appium. Знание Python . Опыт работы с...,от 80 000 руб.,https://hh.ru/vacancy/29219049?query=python
Ведущий специалист по тестированию производительности,ПАО МТС,"Команда QA МТС обеспечивает качество продуктов собственной разработки, которые решают операционные и бизнес-задачи в телекоммуникационном секторе. Автоматизация нагрузочного тестирования. ","Знание видов нагрузочного тестирования, понимание их применяемости. Умение программировать на одном из языков Python, .NET (C#), Java. Знание одного из...",Не указано,https://hh.ru/vacancy/30765472?query=python
Специалист по исследованию бот-сетей, Group-IB,Malware Hunting. Исследование и аналитика бот-сетей. Написание парсеров текстовой информации. Наполнение базы знаний по бот-сетям и вредоносному ПО.,"Представления о работе вредоносных программ. Опыт работы с Zaproxy/Burp. Python/Ruby/PHP/Go/JS, уверенное знание хотя бы одного...",Не указано,https://hh.ru/vacancy/29934229?query=python
Инженер по внедрению,ООО Р-Вижн,"MSSP сервисы (JSOC). И др. Написание скриптов автоматизации и реагирования (python, bash, powershell ..). Диагностика работоспособности и устранение неполадок. ",Опыт работы инженером по ИБ не менее 3х лет. Знание ОС Linux на уровне системного администратора. Знание ОС Windows...,120 000-180 000 руб.,https://hh.ru/vacancy/31239710?query=python
Руководитель группы разработки," Борлас, Консалтинговая группа","Ведение команды разработчиков в составе группы (backend, frontend, android разработчики, разработчики на подряде). Постановка задач на спринты и контроль их...","Опыт разработки не менее 10 лет, на Python от 5-и лет. Отличные знания Python. Уверенные знание основных фрейворков Django...",Не указано,https://hh.ru/vacancy/30904339?query=python
Аналитик / Специалист по обработке данных, Kantar TNS,"Проверка, восстановление и преобразование данных по проведенным маркетинговым исследованиям. Выполнение статистических анализов ( с подбором методов под конкретную задачу) . ","Умение работать в системах обработки данных на уровне написания скриптов/программ. Приветствуются : навыки программирования в Python, VBA. Владение английским языком...",Не указано,https://hh.ru/vacancy/31142250?query=python
Ведущий администратор эксплуатации приложений (backend),АО ФИНАМ,"Прием в эксплуатацию учётных систем (системы бэкофиса, риск менеджмента, и т.д.) брокерской компании от внутренних разработчиков. ∙ Организация и выполнение...","Знания одного из скриптовых языков (Powershell, Python, Bash и т.д.). ∙ Навыки администрирования MS SQL Server (2012-2016). ∙ ",Не указано,https://hh.ru/vacancy/30197961?query=python
Игровой аналитик, NX Studio,"Собрать отчетность по продуктовым метрикам и фичам, которая будет отвечать на большинство вопросов Продюсера и ГД. Построить продвинутую версию игрового...",2+ опыта работы аналитиком (желательно в IT). Опыт работы с python. Любовь к играм. Приветствуется опыт работы в игровой...,Не указано,https://hh.ru/vacancy/31247016?query=python
Системный архитектор (Teamlead),ООО Комлоджик,"Проведение предпроектного обследования и технической экспертизы. Архитектурная проработка бизнес-требований, технических и нефункциональных требований. Разработка оптимальной архитектуры решения, выявление технических...","JS, .Net(C#) или Java или GoLang или Python. Опыт в разработке web приложений. Знание SQL и опыт проектирование баз...",Не указано,https://hh.ru/vacancy/31239542?query=python
Аналитик продукта / Product Analyst, Joom,"В команду логистической платформы на задачи оптимизации логистических затрат, предотвращения возможных миллионных убытков, оценку эффективности новых каналов доставки, поиск узких...","Знание математической статистики и опыт ее применения. Навыки программирования на Python (Pandas, Numpy). Умение писать SQL-запросы. Умение выбирать нужный...",от 130 000 руб.,https://hh.ru/vacancy/29997152?query=python
Руководитель проектов по тестированию,ПАО МТС,Осуществление проектного управления процессом комплексного тестирования на этапе разработки ПО (функционального и регрессионного (ручного и автоматизированного) тестирования) в рамках выпуска...,Высшее профильное образование. Участие в проектах в роли тестировщика. Стаж в должности руководителя проектов от 1 года. Знания теории и...,Не указано,https://hh.ru/vacancy/28777170?query=python
Главный аналитик (мобильная аналитика), Альфа-Банк,Внедрить систему сбора данных и поддерживать ее в мобильном приложении банка и АТМ. Провести аудит текущих процессов с точки зрения...,"Знание инструментов для построения моделей (R/Python или аналоги). Опыт работы с системами firabase, google analytics, appmetrica, appsflyer, tune или...",Не указано,https://hh.ru/vacancy/30977458?query=python
Инженер отдела сопровождения," АТОЛ, группа компаний",Поддержка клиентов на всех этапах интеграции ПО компании. Сбор и анализ требований клиентов по возможным доработкам. Анализ дефектов и неисправностей...,"Навыки программирования на скриптовых языках: Python, JavaScript. Знания ОС Windows/Linux на уровне продвинутого пользователя. Желателен опыт работы с Itilium...",Не указано,https://hh.ru/vacancy/31251539?query=python
Аналитик по исследованию клиентского поведения в Digital, Сбербанк для экспертов,"Поиск инсайтов по клиентскому поведению в Digital (мобильное приложение, web-банк, sms-банк). Частые разовые запросы от бизнес заказчиков. ",...SQL и т.п. Желателен опыт работы с QlikView (либо любой другой BI инструмент). Плюсом будет знание основ ML (Python).,Не указано,https://hh.ru/vacancy/31252847?query=python
Администратор SAS,АО Национальная система платежных карт,"Администрирование и сопровождение системы автоматизации маркетинговых кампаний на базе решений SAS Customer Intelligence (SAS Marketing Automation, SAS Enterprise Miner, SAS...","Знание SQL на уровне написания хранимых процедур. Знание языков программирования (PHP/Python/JAVA) (как преимущество). Активность, нацеленность на результат, ответственность...",Не указано,https://hh.ru/vacancy/29904836?query=python
Дежурный инженер отдела сопровождения фронт-офисных решений,АО Национальная система платежных карт,"...и тестовых стендов авторизационной системы (конфигурация, чистка логов, обновление). Техническое документирование. Разработка внутренних инструкций. Создание скриптов малой автоматизации (bash, python).","Высшее образование. Опыт работы в ИТ не менее года. Уверенное владение SQL, начальные навыки администрирования Linux (RedHat, CentOS). ",Не указано,https://hh.ru/vacancy/31241162?query=python
Главный аналитик (Отдел анализа и отчетности)," «РОСБАНК, Societe Generale Group», с опытом работы","Проведение разнообразных аналитических исследований просроченной задолженности, сегментация портфеля. Разработка скоринговых моделей, аналитика и оптимизация стратегии взыскания. Прогнозирование (на горизонте года...","Знание специальных программ: MS SQL Server, Anaconda (Python), Visual Studio. Написание сложных SQL запросов. Построение скоринговых моделей. Программирование на Python...",Не указано,https://hh.ru/vacancy/31142401?query=python
Инженер технической поддержки,ООО Лаборатория Умного Вождения,"Техническая поддержка работоспособности коммутационного и серверного оборудования, а также облачных сервисов компании. Работа с системами мониторинга и оповещения, эскалация профильным...","Опыт работы с Hyper-V / VMware. Знание скриптовых языков - Unix shell scripts (bash, sh, csh), cmd/bat, Python, знание основ...",до 70 000 руб.,https://hh.ru/vacancy/30696386?query=python
Старший 3D аниматор, Banzai,"Работа над игровыми проектами и full cg роликами. Риггинг, скиннинг только игровых персонажей. Работа с мокапом. Постепенное изучение внутренней разработки...","...повествования, драматургии, анимационному кино. Базовые навыки работы в Unity. Понимание pipeline производства синематиков/анимационного кино. Желательно: Художественное образование. Знание python.",Не указано,https://hh.ru/vacancy/31048880?query=python
Руководитель группы решений Microsoft и виртуализации," Ренессанс Кредит, Москва","Организация эксплуатации и развития Wintel-инфраструктуры, включающей в себя: серверное оборудование x86, доменные службы Microsoft, система виртуализации VMware, MS...","Опыт администрирования VMware/Hyper-v. Опыт автоматизации операций/процессов с использованием PowerShell, Python, Perl, Bash, .Net и др. ",Не указано,https://hh.ru/vacancy/30490488?query=python
Руководитель управления разработки, Связной,"Управление разработкой (более 40 сотрудников): Анализ и преобразование процессов в разработке: управление, дизайн, фронтэнд, бэкэнд, тестирование, опытная эксплуатация, релизы, моделирование...","Навыки управления проектами и знание методологий проектного менеджмента (PMI PMBOK, Agile/Scrum, Lean). Знание технологий: PHP, MySQL, HTML/CSS, JavaScript...",Не указано,https://hh.ru/vacancy/30632120?query=python
Руководитель направления по информационной безопасности,ООО Обоз,"Разработка и реализация стратегии защиты систем и данных компании. Анализ и участие в проектировании подсистем, связанных с информационной безопасностью (аутентификация...","Понимание принципов ООП и программирования в целом, знание Python, Javascript, Java, Kotlin. Знание основных законодательных положений, регламентирующих деятельность в области...",Не указано,https://hh.ru/vacancy/29489382?query=python
SRE - инженер в группу эксплуатации информационных проектов, Rambler Group,Эксплуатация и обеспечение бесперебойной работы продакшн серверов. Своевременное обновление программного обеспечения. Оценка и планирование производительности. Уменьшение количества ручных операций и...,"Уверенное владение системой контроля версий git. Опыт программирования на скриптовых языках: python, bash. Опыт работы с CI сервисами: Gitlab-ci...",Не указано,https://hh.ru/vacancy/27412989?query=python
DevOps specialist, Сбербанк для экспертов,"Развертывание, сопровождение тестовых сред автоматизированной системы. Настройка CI/CD (Jenkins, pipelines). Автоматизация процессов разработки, тестирования; взаимодействие с разработчиками, QA. ","Знание CI/CD (Jenkins). Знание скриптовых языков Bash, Python. Знание языка SQL. Знание Git. Знание серверов приложений (IBM WAS, WildFly...",Не указано,https://hh.ru/vacancy/31236744?query=python
Консультант отдела прикладного сопровождения и автоматизации операционных процессов,АО Национальная система платежных карт,"Прикладное сопровождение и администрирование программных продуктов компании. Взаимодействие с вендорами, тестировщиками и пользователями сопровождаемого ПО. Малая автоматизация технологических процессов. ",Знание SQL на уровне написания хранимых процедур. Знание скриптовых языков (Shell/Bash/Python). Знание PHP/Perl/Java (как преимущество). ,Не указано,https://hh.ru/vacancy/29867854?query=python
Младший аналитик по управлению риском ликвидности, Raiffeisenbank,Участие в управлении риском ликвидности банка. Подготовка отчетности по риску ликвидности. Подготовка/анализ отчетности по LCR/НКЛ. Оптимизация моделей измерения...,"Высшее физико-математическое / экономико-математическое образование. Знание баланса банка, основ риск-менеджмента и финансовой теории. Знание SQL, навыки написания запросов. ",Не указано,https://hh.ru/vacancy/31250540?query=python
Продуктовый аналитик /Product Analyst, ЦИАН ГРУПП,"Аудит существующих метрик, логики их формирования, выявление и решение проблем с их подсчетами. В итоге выстроить систему метрик, поддерживать и...","Методы статистического анализа больших объемов данных. Python или R (не обязательно, но преимущество). Google Analytics, Яндекс Метрика (одно из). ",Не указано,https://hh.ru/vacancy/31248194?query=python
Инженер по автоматизации управления жизненным циклом изделия,ООО НПП Автономные аэрокосмические системы - ГеоСервис,Анализ бизнес процессов и потребностей команды в части автоматизации процессов: Управления задачами. Генерации документов. Генерации отчетов. Обмена документацией разного рода. ,Готовности разбираться в сложных вопросах междисциплинарных проектов. Уверенных навыков программирования на python. Знания bash. Уверенных навыков администрирования *nix систем. ,Не указано,https://hh.ru/vacancy/31079673?query=python
